"Date","Price","Open","High","Low","Vol.","Change %"
"09/16/2023","7.1440","6.9580","7.1710","6.9440","936.51K","3.04%"
"09/15/2023","6.9330","6.8510","7.0430","6.7570","1.33M","1.43%"
"09/14/2023","6.8350","6.5410","6.9120","6.5010","1.50M","4.53%"
"09/13/2023","6.5390","6.3810","6.5750","6.3640","1.17M","2.56%"
"09/12/2023","6.3760","6.3740","6.5470","6.3420","1.34M","0.05%"
"09/11/2023","6.3730","6.6590","6.6860","6.2950","2.41M","-4.31%"
"09/10/2023","6.6600","6.8510","6.8520","6.6010","1.16M","-2.79%"
"09/09/2023","6.8510","6.8370","6.9280","6.8080","677.43K","0.20%"
"09/08/2023","6.8370","6.9540","6.9990","6.7940","779.03K","-1.60%"
"09/07/2023","6.9480","6.8910","6.9890","6.8090","796.78K","0.77%"
"09/06/2023","6.8950","6.8170","6.9210","6.7290","889.49K","1.19%"
"09/05/2023","6.8140","6.7230","6.8480","6.6680","999.49K","1.29%"
"09/04/2023","6.7270","6.8070","6.9200","6.6720","1.28M","-1.16%"
"09/03/2023","6.8060","6.8280","6.8800","6.7580","678.35K","-0.28%"
"09/02/2023","6.8250","6.6580","6.8320","6.6330","792.79K","2.42%"
"09/01/2023","6.6640","6.9150","6.9760","6.6420","1.34M","-3.76%"
"08/31/2023","6.9240","7.2200","7.2650","6.8350","1.62M","-4.11%"
"08/30/2023","7.2210","7.4520","7.4580","7.1840","1.02M","-2.98%"
"08/29/2023","7.4430","7.2720","7.5090","7.1160","1.51M","2.42%"
"08/28/2023","7.2670","7.1830","7.2820","7.0690","860.67K","1.21%"
"08/27/2023","7.1800","7.1510","7.2090","7.0970","538.46K","0.36%"
"08/26/2023","7.1540","7.2460","7.2600","7.1350","1.20M","-1.27%"
"08/25/2023","7.2460","7.2020","7.2700","7.0600","1.12M","0.56%"
"08/24/2023","7.2060","7.4360","7.4540","7.0970","1.25M","-3.00%"
"08/23/2023","7.4290","7.3960","7.5260","7.3130","1.03M","0.41%"
"08/22/2023","7.3990","7.5420","7.5550","7.1220","1.42M","-1.95%"
"08/21/2023","7.5460","7.8670","7.8800","7.4170","1.07M","-4.07%"
"08/20/2023","7.8660","7.7030","7.8930","7.6920","866.17K","2.06%"
"08/19/2023","7.7070","7.5710","7.7300","7.5060","811.73K","1.80%"
"08/18/2023","7.5710","7.3890","7.6890","7.3700","2.60M","2.32%"
"08/17/2023","7.3990","7.7950","8.2010","7.2190","6.32M","-5.19%"
"08/16/2023","7.8040","8.0980","8.1280","7.6370","1.40M","-3.82%"
"08/15/2023","8.1140","8.5190","8.5560","7.9250","1.40M","-4.69%"
"08/14/2023","8.5130","8.3670","8.5750","8.3330","699.50K","1.65%"
"08/13/2023","8.3750","8.4210","8.5070","8.3550","592.15K","-0.55%"
"08/12/2023","8.4210","8.3490","8.4390","8.3380","678.17K","0.86%"
"08/11/2023","8.3490","8.4200","8.4630","8.3270","752.56K","-0.80%"
"08/10/2023","8.4160","8.5460","8.5660","8.4050","689.83K","-1.49%"
"08/09/2023","8.5430","8.5240","8.6680","8.4370","738.07K","0.23%"
"08/08/2023","8.5230","8.5030","8.6420","8.4510","978.51K","0.28%"
"08/07/2023","8.4990","8.4860","8.5880","8.2680","1.10M","0.13%"
"08/06/2023","8.4880","8.5090","8.5810","8.4520","554.14K","-0.22%"
"08/05/2023","8.5070","8.4800","8.5410","8.3700","665.68K","0.26%"
"08/04/2023","8.4850","8.6070","8.6760","8.3840","855.31K","-1.59%"
"08/03/2023","8.6220","8.7140","8.7770","8.5970","736.34K","-1.07%"
"08/02/2023","8.7150","8.9860","9.0250","8.7020","898.01K","-2.95%"
"08/01/2023","8.9800","8.8590","8.9810","8.6390","1.07M","1.37%"
"07/31/2023","8.8590","9.0030","9.1150","8.7640","856.27K","-1.65%"
"07/30/2023","9.0080","9.0780","9.0970","8.8690","654.60K","-0.73%"
"07/29/2023","9.0740","9.0280","9.0910","8.9830","404.58K","0.55%"
"07/28/2023","9.0240","8.9140","9.0680","8.8600","587.44K","1.23%"
"07/27/2023","8.9140","8.9830","9.0990","8.8560","673.32K","-0.82%"
"07/26/2023","8.9880","8.9570","9.0360","8.8160","1.10M","0.37%"
"07/25/2023","8.9550","9.0030","9.0630","8.9210","794.85K","-0.56%"
"07/24/2023","9.0050","9.2770","9.2930","8.9050","1.23M","-2.94%"
"07/23/2023","9.2780","9.2640","9.3620","9.2240","589.85K","0.14%"
"07/22/2023","9.2650","9.4220","9.5700","9.1880","1.04M","-1.71%"
"07/21/2023","9.4260","9.3720","9.5370","9.2970","1.01M","0.66%"
"07/20/2023","9.3640","9.1790","9.5950","9.1560","1.50M","1.96%"
"07/19/2023","9.1840","9.2860","9.4110","9.1320","1.12M","-1.10%"
"07/18/2023","9.2860","9.4380","9.5170","9.1070","1.03M","-1.56%"
"07/17/2023","9.4330","9.3880","9.6050","9.1750","1.41M","0.40%"
"07/16/2023","9.3950","9.7120","9.7270","9.3390","1.04M","-3.25%"
"07/15/2023","9.7110","9.7870","9.9840","9.6420","979.88K","-0.84%"
"07/14/2023","9.7930","9.9000","10.2890","9.4290","2.99M","-0.95%"
"07/13/2023","9.8870","9.0690","9.9040","8.9450","2.45M","9.02%"
"07/12/2023","9.0690","9.1950","9.2870","8.9730","902.34K","-1.41%"
"07/11/2023","9.1990","9.2490","9.3620","9.1540","782.61K","-0.52%"
"07/10/2023","9.2470","9.4360","9.4360","9.1830","1.23M","-1.91%"
"07/09/2023","9.4270","9.2070","9.6040","9.1880","885.85K","2.32%"
"07/08/2023","9.2130","9.1670","9.3030","9.0940","638.65K","0.45%"
"07/07/2023","9.1720","9.1800","9.3690","9.1120","811.58K","-0.08%"
"07/06/2023","9.1790","9.3900","9.6460","9.1060","1.33M","-2.33%"
"07/05/2023","9.3980","9.6850","9.8780","9.2610","1.52M","-2.92%"
"07/04/2023","9.6810","9.9480","9.9630","9.6380","1.08M","-2.63%"
"07/03/2023","9.9420","9.6000","10.0970","9.5660","1.42M","3.59%"
"07/02/2023","9.5970","9.5590","9.5970","9.3450","930.32K","0.35%"
"07/01/2023","9.5640","9.3010","9.5760","9.1680","1.25M","2.96%"
"06/30/2023","9.2890","8.9710","9.4340","8.8370","2.18M","3.46%"
"06/29/2023","8.9780","9.1230","9.4340","8.9780","1.24M","-1.62%"
"06/28/2023","9.1260","9.4340","9.4340","8.9650","1.18M","-3.19%"
